taluka,temperature,longitude,latitude
Bagalkot,30.26,75.7,16.1833
Jamkhandi,31.15,75.3,16.5167
Mudhola,24.55,77.3144,18.2234
Badami,29.65,75.6768,15.915
Bilagi,30.48,75.6191,16.3464
Hunagunda,27.41,75.1728,14.9077
Ilkal,28.84,76.1333,15.9667
Rabkavi,31.32,75.1,16.4667
Guledagudda,30.02,75.8,16.05
Ballari,31.79,76.9333,15.15
Kurugodu,31.19,76.8358,15.3469
Kampli,30.59,76.6167,15.4
Sanduru,29.56,76.5436,15.0844
Siruguppa,32.24,76.9,15.6333
Belagavi,29.07,74.5069,15.8573
Athani,30.95,75.0667,16.7333
Chikkodi,29.08,74.5861,16.4265
Gokak,30.41,74.8333,16.1667
Khanapura,30.1,76.7837,16.5067
Mudalagi,31.15,74.9683,16.3367
Nippani,28.23,74.3842,16.402
Rayabaga,30.48,74.7741,16.4916
Savadatti,27.91,75.1175,15.7672
Ramadurga,29.87,76.5471,14.8543
Kagawada,30.35,74.723,16.6919
Hukkeri,29.77,74.603,16.2309
Kitturu,29.12,74.7877,15.5957
Hebbala,29.54,75.942,16.4375
Kengeri,28.57,77.4833,12.9199
Krishnarajapura,30.92,76.8056,12.0325
Anekal,27.73,77.7,12.7
Yelahanka,27.86,77.6003,13.1075
Nelamangala,28.11,77.39,13.1022
Doddaballapur,27.17,77.5431,13.293
Devanahalli,27.14,77.6992,13.2325
Hosakote,31.41,77.1699,14.2769
Aurad,24.31,77.4333,18.25
Basavakalyana,26.96,76.9504,17.8759
Bhalki,26.02,77.2167,18.0333
Bidar,24.88,77.55,17.9
Chittaguppa,27,77.2162,17.6985
Basavakalyān,26.98,76.95,17.8667
Humanabad,26.95,77.1285,17.7718
Kamalanagara,24.92,77.1794,18.2335
Chamarajanagara,31.23,76.9389,11.9237
Gundlupēt,30.56,76.6833,11.8
Kollegal,31.69,77.1167,12.15
Yelanduru,31.52,77.0307,12.0463
Bandalli,29.08,77.1426,16.8013
Chikkaballapura,26.91,77.7307,13.4353
Bagepalli,31.32,77.7931,13.7847
Chintamani,27.19,78.0667,13.4
Gauribidanuru,31.77,77.5168,13.6115
Gudibanda,30.55,77.6983,13.6694
Sidlaghatta,27.05,77.8628,13.3881
Cheluru,30.82,76.9061,13.4425
Chikkamagaluru,26.09,75.7739,13.318
Kaduru,29.68,76.0115,13.5527
Koppa,26.43,75.3633,13.5304
Mudigere,25.67,75.6333,13.1333
Narasimharajapura,27.69,75.5167,13.6167
Sringeri,26.62,75.25,13.4167
Tarikere,28.1,75.8167,13.7167
Ajjampura,28.69,76.0013,13.7248
Kalasa,27.89,75.4051,15.098
Chitradurga,29.08,76.4,14.2333
Challakere,30.9,76.65,14.3167
Hiriyur,31.4,76.6192,13.9456
Holalkere,29.02,76.1833,14.0333
Hosadurga,30.17,76.2831,13.7988
Molakalmuru,31.05,76.7467,14.7174
Mangaluru,29.48,74.8833,12.8667
Ullal,29.53,74.85,12.8
Mulki,29.6,74.8,13.1
Mūdbidri,28.79,74.9833,13.0833
Bantwal,29.53,75.0409,12.8954
Beltangadi,27.51,75.3,13.9833
Putturu,29.05,75.2018,12.7633
Sulya,29.18,75.3833,12.5667
Kadaba,30.8,76.8626,13.2411
Davanagere,29.12,75.9206,14.4661
Harihara,29.63,75.8093,14.5117
Channagiri,28.5,75.9333,14.0333
Honnali,29.21,75.6667,14.25
Nyamti,28.86,75.5833,14.15
Jagaluru,29.48,76.3399,14.52
Kalghatgi,28.62,74.9667,15.1833
Dharwad,27.66,75.0167,15.4667
Hubballi,28.13,75.138,15.3518
Kundgol,28.11,75.25,15.25
Navalgund,28.5,75.3667,15.5667
Alnavar,28.5,74.7333,15.4333
Annigeri,28.1,75.4333,15.4333
Gadag,28.28,75.6167,15.4167
Naragunda,29.49,75.3846,15.722
Mundaragi,29.53,75.884,15.2052
Gajendragad,28.89,75.9669,15.732
Lakshmeshwar,28.07,75.4667,15.1333
Shirahatti,28.09,75.5803,15.2344
Hassan,27.52,76.0994,13.0006
Arasikere,30.23,76.2568,13.316
Channarayapattana,29.2,76.3896,12.9069
Hole Narsipur,29,76.2431,12.7828
Sakleshpur,26.06,75.7833,12.9667
Aluru,27.02,75.9936,12.9788
Arkalgūd,27.71,76.0569,12.765
Beluru,29.92,75.7549,14.7199
Ranibennur,29.05,75.6167,14.6167
Byadgi,28.68,75.4833,14.6833
Hangala,30.11,76.6483,11.7457
Haveri,28.64,75.4,14.8
Savanūr,28.56,75.35,14.9667
Hirekerūr,28.23,75.3833,14.4667
Shiggaon,28.28,75.2333,15
Rattihalli,29.01,75.5148,14.4215
Kalaburagi,28.18,76.8334,17.331
Afzalpur,31.14,76.35,17.2
Alanda,29.68,76.5679,17.5633
Chincholi,27.62,77.4333,17.4667
Chitapura,26.76,77.0856,17.1174
Jevargi,28.35,76.7667,17.0167
Sedam,26.14,77.2824,17.1773
Kamalapura,29.6,76.4764,15.3047
Kalagi,29.23,76.0113,16.3125
Madikeri,23.94,75.7333,12.4167
Somawarapete,25.26,75.8458,12.6004
Virajpet,25.35,75.8033,12.1973
Ponnampet,26.67,75.9333,12.15
Kushālnagar,28.04,75.959,12.458
Kolar,27.42,78.1333,13.1333
Bangarapete,30.56,78.1817,12.9885
Maluru,27.58,77.9383,13.006
Mulabagilu,30.93,78.3959,13.1626
Srīnivāspur,30.93,78.2167,13.3333
Kolar Gold Fields,30.42,78.2731,12.9546
Koppala,28.39,76.1547,15.3484
Gangāwati,30.47,76.5333,15.4333
Kushtagi,28.77,76.2,15.7667
Yelbarga,28.56,76.0167,15.6333
Kanakagiri,29.83,76.419,15.5697
Sindhnūr,31.76,76.7667,15.7833
Kuknur,27.98,75.9935,15.4903
Mandya,31.7,76.8958,12.5242
Malavalli,31.93,77.0833,12.3833
Srirangapatna,31.59,76.6851,12.4226
Krishnarajapete,30.3,76.4889,12.6579
Nagamangala,30.68,76.7575,12.8156
Pandavapura,31.4,76.6733,12.5006
Mysuru,31.01,76.6497,12.3072
Hunasuru,31.8,76.8914,12.2262
Krishnarajanagara,30.19,76.3837,12.4386
Nanjangūd,31.41,76.6828,12.1197
Heggadadevanakote,30.35,76.3311,12.0877
Piriyapattana,28.41,76.0988,12.3372
Tirumakudalu Narasipura,31.79,76.9028,12.2135
Saraguru,30.55,76.3973,11.9977
Rāichūr,31.79,77.3667,16.2
Sindhanur,31.69,76.755,15.7692
Manvi,32.44,77.05,15.9833
Lingasugur,28.64,76.5242,16.1563
Mudgal,28.59,76.4333,16.0167
Madagiri,32.35,77.0755,16.0933
Ramanagara,29.4,77.2805,12.7253
Magadi,28.2,77.2333,12.9667
Kanakapura,30.8,77.4167,12.55
Channapattana,31.07,77.2043,12.6545
Harohalli,29.19,77.4734,12.6802
Shivamogga,28.66,75.5667,13.9167
Sagara,27.26,75.0264,14.1665
Bhadravathi,28.39,75.7038,13.8502
Hosanagara,26.47,75.0667,13.9167
Shikaripura,28.53,75.3588,14.264
Soraba,27.58,75.0938,14.379
Tirthahalli,26.76,75.2333,13.7
Tumakuru,30.62,77.1006,13.3401
Chikkanayakanahalli,30.86,76.6206,13.4173
Kunigal,30.55,77.0267,13.0222
Madhugiri,31.25,77.2092,13.6606
Sira,31.89,76.9092,13.7453
Tiptūr,30.09,76.4783,13.2586
Gubbi,30.93,76.9444,13.3106
Koratagere,31.31,77.2331,13.5228
Pavagada,31.23,77.2667,14.1
Turuvekere,30.37,76.6667,13.1642
Udupi,29.58,74.75,13.35
Byndoor,28.38,74.6333,13.8667
Karkala,28.9,74.9833,13.2
Kundapura,28.7,74.6916,13.6251
Hebri,28.85,74.9912,13.4587
